"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"265.42870829235/145.448299168027"," 0.6950290"," 0.8818965","-2.2812614"," 0.2320177"," 0.8259051"," 0.1537446","-0.3593241","-1.0922311"," 0.4105109"," 0.5337127"
"265.976131188367/116.488253846586","-1.7458237","-1.4928195","-0.1114364"," 0.9131188"," 0.6587375"," 0.6690454"," 0.9781940","-0.7862314"," 0.4676442"," 0.4495710"
"266.016203373485/110.255858972074","-0.7038264","-0.7466575"," 0.4847308","-0.7466575","-0.6431591","-0.7466575"," 2.2383806","-0.4246432"," 0.3589854"," 0.9295045"
"266.432909475186/137.88230304095"," 0.2352134"," 1.2559961","-0.5630705"," 0.9420441"," 0.9777329"," 1.0823149","-1.0714531","-0.6863663","-0.9181436","-1.2542678"
"266.888951678018/136.410560761555"," 0.8710406"," 1.1836548"," 0.3906245","-0.9264564"," 1.1417164"," 1.0452456","-0.9264564","-0.9264564","-0.9264564","-0.9264564"
"267.057140653096/79.8686313377423"," 0.66543595"," 0.16549490","-1.07235594"," 1.11582315"," 1.61497053"," 0.02172217","-1.43305811","-1.09608286","-0.35906466"," 0.37711487"
"267.134022724078/41.0999710996009"," 1.1901838","-0.5173397"," 0.9303536"," 0.8660278"," 0.8264596"," 0.6908385","-1.4909033","-0.4400405","-1.1013921","-0.9541877"
"267.268202051608/35.9197090102171"," 0.63987993"," 0.32004842","-0.63471732"," 0.48248035"," 0.55805676","-2.63478611","-0.02621387"," 0.48877795"," 0.53391405"," 0.27255983"
"267.989403730357/136.771299534715"," 0.9549978"," 0.5508237","-1.4161339"," 0.6370093"," 0.7758844"," 0.6988489"," 0.5066280","-1.4161339"," 0.1242096","-1.4161339"
"268.103945625095/40.4734436244471","-0.1517651"," 1.3981696","-0.1540363"," 0.6373373"," 0.3098432","-1.3499642"," 0.6742804","-1.1167648"," 1.0891763","-1.3362763"
